set(['b3708 glyclt_c', 'b3708 atp_c', 'b2276 h2o_c', 'b2276 ppi_c', 'b2276 nad_c', 'b3708 nadh_c', 'b2276 nadh_c', 'b2276 coa_c', 'b3708 adp_c', 'b3708 coa_c', 'b3708 accoa_c', 'b2276 h2o_p', 'b2276 h_c', 'b3708 ACP_c', 'b2276 pi_c', 'b2276 adp_c', 'b2276 pi_p', 'b2276 ACP_c', 'b2276 atp_c', 'b3708 ppi_c', 'b3708 pi_p', 'b3708 nadp_c', 'b2276 nadp_c', 'b3708 nadph_c', 'b2276 h_p', 'b3708 pi_c', 'b3708 h_p', 'b2276 q8_c', 'b3708 h2o_c', 'b2276 accoa_c', 'b2276 glyclt_c', 'b3708 o2_c', 'b2276 nadph_c', 'b3708 h2o_p', 'b2276 co2_c', 'b3708 h_c'])

Target Metabolite 	Exchange reaction ID 	Reactants 	Products
b3708 4abut_e 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 4abut_e 	Org_b3708 ERR39 	['4abut_e'] 	['b3708 4abut_e']
b3708 4abut_e 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 4abut_e 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 4abut_e 	Org_b2276 ER39 	['b2276 4abut_e'] 	['4abut_e']


b3708 4abut_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 4abut_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 4abut_c 	Org_b3708 ERR39 	['4abut_e'] 	['b3708 4abut_e']
b3708 4abut_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 4abut_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 4abut_c 	Org_b2276 ER39 	['b2276 4abut_e'] 	['4abut_e']


b2276 cbp_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 cbp_c 	Org_b2276 ERR160 	['o2_e'] 	['b2276 o2_e']
b2276 cbp_c 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 cbp_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 cbp_c 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 cbp_c 	Org_b3708 ER160 	['b3708 o2_e'] 	['o2_e']
b2276 cbp_c 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 cbp_c 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']


b3708 4abut_p 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 4abut_p 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 4abut_p 	Org_b3708 ERR39 	['4abut_e'] 	['b3708 4abut_e']
b3708 4abut_p 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 4abut_p 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 4abut_p 	Org_b2276 ER39 	['b2276 4abut_e'] 	['4abut_e']


b3708 glyc3p_c 	Org_b2276 ER281 	['b2276 glyald_e'] 	['glyald_e']
b3708 glyc3p_c 	Org_b2276 ER285 	['b2276 glyc_e'] 	['glyc_e']
b3708 glyc3p_c 	Org_b3708 ERR281 	['glyald_e'] 	['b3708 glyald_e']
b3708 glyc3p_c 	Org_b3708 ERR285 	['glyc_e'] 	['b3708 glyc_e']
b3708 glyc3p_c 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 glyc3p_c 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 glyc3p_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 glyc3p_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b3708 ser_L_p 	Org_b3708 ERR299 	['ser_L_e'] 	['b3708 ser_L_e']
b3708 ser_L_p 	Org_b2276 ER299 	['b2276 ser_L_e'] 	['ser_L_e']


b3708 h2_c 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 h2_c 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b3708 h2_c 	Org_b2276 ER201 	['b2276 h2_e'] 	['h2_e']
b3708 h2_c 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 h2_c 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b3708 h2_c 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 h2_c 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b3708 h2_c 	Org_b3708 ERR201 	['h2_e'] 	['b3708 h2_e']
b3708 h2_c 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b3708 h2_c 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b3708 h2_c 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 h2_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 h2_c 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b3708 h2_c 	Org_b2276 ER127 	['b2276 ins_e'] 	['ins_e']
b3708 h2_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 h2_c 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']


b3708 anth_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 anth_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 anth_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 anth_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']


b3708 h2_e 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 h2_e 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b3708 h2_e 	Org_b2276 ER201 	['b2276 h2_e'] 	['h2_e']
b3708 h2_e 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 h2_e 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b3708 h2_e 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 h2_e 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b3708 h2_e 	Org_b3708 ERR201 	['h2_e'] 	['b3708 h2_e']
b3708 h2_e 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b3708 h2_e 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b3708 h2_e 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 h2_e 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 h2_e 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b3708 h2_e 	Org_b2276 ER127 	['b2276 ins_e'] 	['ins_e']
b3708 h2_e 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 h2_e 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']


b3708 sucsal_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 sucsal_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 sucsal_c 	Org_b3708 ERR39 	['4abut_e'] 	['b3708 4abut_e']
b3708 sucsal_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 sucsal_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 sucsal_c 	Org_b2276 ER39 	['b2276 4abut_e'] 	['4abut_e']


b3708 ser_L_e 	Org_b3708 ERR299 	['ser_L_e'] 	['b3708 ser_L_e']
b3708 ser_L_e 	Org_b2276 ER299 	['b2276 ser_L_e'] 	['ser_L_e']


b2276 glu5p_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 glu5p_c 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 glu5p_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 glu5p_c 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 glu5p_c 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 glu5p_c 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']


b3708 h2_p 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 h2_p 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b3708 h2_p 	Org_b2276 ER201 	['b2276 h2_e'] 	['h2_e']
b3708 h2_p 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 h2_p 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b3708 h2_p 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 h2_p 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b3708 h2_p 	Org_b3708 ERR201 	['h2_e'] 	['b3708 h2_e']
b3708 h2_p 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b3708 h2_p 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b3708 h2_p 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 h2_p 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 h2_p 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b3708 h2_p 	Org_b2276 ER127 	['b2276 ins_e'] 	['ins_e']
b3708 h2_p 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 h2_p 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']


b3708 3psme_c 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 3psme_c 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 3psme_c 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 3psme_c 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 3psme_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 3psme_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b2276 ac_p 	Org_b2276 ERR34 	['ac_e'] 	['b2276 ac_e']
b2276 ac_p 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 ac_p 	Org_b3708 ER34 	['b3708 ac_e'] 	['ac_e']
b2276 ac_p 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 ac_p 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 ac_p 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b2276 imp_c 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b2276 imp_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 imp_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b2276 imp_c 	Org_b3708 ER6 	['b3708 hxan_e'] 	['hxan_e']
b2276 imp_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 imp_c 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 imp_c 	Org_b2276 ERR6 	['hxan_e'] 	['b2276 hxan_e']
b2276 imp_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 imp_c 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b2276 imp_c 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']


b3708 ru5p_L_c 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 ru5p_L_c 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b3708 ru5p_L_c 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 ru5p_L_c 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b3708 ru5p_L_c 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 ru5p_L_c 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b3708 ru5p_L_c 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b3708 ru5p_L_c 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 ru5p_L_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 ru5p_L_c 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b3708 ru5p_L_c 	Org_b2276 ER127 	['b2276 ins_e'] 	['ins_e']
b3708 ru5p_L_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b2276 for_c 	Org_b3708 ER30 	['b3708 for_e'] 	['for_e']
b2276 for_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b2276 for_c 	Org_b2276 ERR30 	['for_e'] 	['b2276 for_e']
b2276 for_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']


b2276 for_e 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b2276 for_e 	Org_b2276 ERR30 	['for_e'] 	['b2276 for_e']
b2276 for_e 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b2276 for_e 	Org_b3708 ER30 	['b3708 for_e'] 	['for_e']
b2276 for_e 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b2276 for_e 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b2276 for_e 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b2276 for_e 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b2276 for_e 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b2276 for_e 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b2276 for_e 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 for_e 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b2276 for_e 	Org_b2276 ER127 	['b2276 ins_e'] 	['ins_e']
b2276 for_e 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b3708 3c3hmp_c 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
b3708 3c3hmp_c 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
b3708 3c3hmp_c 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
b3708 3c3hmp_c 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
b3708 3c3hmp_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 3c3hmp_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b2276 for_p 	Org_b3708 ER30 	['b3708 for_e'] 	['for_e']
b2276 for_p 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b2276 for_p 	Org_b2276 ERR30 	['for_e'] 	['b2276 for_e']
b2276 for_p 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']


b3708 acglu_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 acglu_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 acglu_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 acglu_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']


b3708 alltn_p 	Org_b3708 ERR277 	['alltn_e'] 	['b3708 alltn_e']
b3708 alltn_p 	Org_b3708 ER160 	['b3708 o2_e'] 	['o2_e']
b3708 alltn_p 	Org_b2276 ERR160 	['o2_e'] 	['b2276 o2_e']
b3708 alltn_p 	Org_b2276 ER277 	['b2276 alltn_e'] 	['alltn_e']


b2276 gmhep1p_c 	Org_b2276 ERR34 	['ac_e'] 	['b2276 ac_e']
b2276 gmhep1p_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 gmhep1p_c 	Org_b2276 ERR66 	['acald_e'] 	['b2276 acald_e']
b2276 gmhep1p_c 	Org_b3708 ER34 	['b3708 ac_e'] 	['ac_e']
b2276 gmhep1p_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 gmhep1p_c 	Org_b3708 ER66 	['b3708 acald_e'] 	['acald_e']


b3708 alltn_e 	Org_b3708 ERR277 	['alltn_e'] 	['b3708 alltn_e']
b3708 alltn_e 	Org_b3708 ER160 	['b3708 o2_e'] 	['o2_e']
b3708 alltn_e 	Org_b2276 ER277 	['b2276 alltn_e'] 	['alltn_e']
b3708 alltn_e 	Org_b2276 ERR160 	['o2_e'] 	['b2276 o2_e']


b2276 dmlz_c 	Org_b2276 ERR261 	['xtsn_e'] 	['b2276 xtsn_e']
b2276 dmlz_c 	Org_b2276 ERR34 	['ac_e'] 	['b2276 ac_e']
b2276 dmlz_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 dmlz_c 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']
b2276 dmlz_c 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 dmlz_c 	Org_b2276 ERR87 	['etoh_e'] 	['b2276 etoh_e']
b2276 dmlz_c 	Org_b2276 ERR66 	['acald_e'] 	['b2276 acald_e']
b2276 dmlz_c 	Org_b3708 ER34 	['b3708 ac_e'] 	['ac_e']
b2276 dmlz_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 dmlz_c 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 dmlz_c 	Org_b3708 ER261 	['b3708 xtsn_e'] 	['xtsn_e']
b2276 dmlz_c 	Org_b2276 ERR127 	['ins_e'] 	['b2276 ins_e']
b2276 dmlz_c 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 dmlz_c 	Org_b3708 ER127 	['b3708 ins_e'] 	['ins_e']
b2276 dmlz_c 	Org_b3708 ER87 	['b3708 etoh_e'] 	['etoh_e']
b2276 dmlz_c 	Org_b3708 ER66 	['b3708 acald_e'] 	['acald_e']


xan_e 	Org_b2276 ER283 	['b2276 xan_e'] 	['xan_e']


lac_D_e 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
lac_D_e 	Org_b3708 ER284 	['b3708 lac_D_e'] 	['lac_D_e']
lac_D_e 	Org_b2276 ER206 	['b2276 glyc_R_e'] 	['glyc_R_e']
lac_D_e 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
lac_D_e 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
lac_D_e 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b3708 aicar_c 	Org_b3708 ERR261 	['xtsn_e'] 	['b3708 xtsn_e']
b3708 aicar_c 	Org_b2276 ER261 	['b2276 xtsn_e'] 	['xtsn_e']
b3708 aicar_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 aicar_c 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b3708 aicar_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 aicar_c 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b3708 aicar_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 aicar_c 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b3708 aicar_c 	Org_b3708 ERR127 	['ins_e'] 	['b3708 ins_e']
b3708 aicar_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 aicar_c 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b3708 aicar_c 	Org_b2276 ER66 	['b2276 acald_e'] 	['acald_e']
b3708 aicar_c 	Org_b2276 ER127 	['b2276 ins_e'] 	['ins_e']
b3708 aicar_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 aicar_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 aicar_c 	Org_b3708 ERR66 	['acald_e'] 	['b3708 acald_e']


b2276 r5p_c 	Org_b2276 ERR34 	['ac_e'] 	['b2276 ac_e']
b2276 r5p_c 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 r5p_c 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b2276 r5p_c 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 r5p_c 	Org_b3708 ER34 	['b3708 ac_e'] 	['ac_e']
b2276 r5p_c 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 r5p_c 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 r5p_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 r5p_c 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b2276 r5p_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']


b2276 h2_e 	Org_b2276 ERR30 	['for_e'] 	['b2276 for_e']
b2276 h2_e 	Org_b2276 ERR201 	['h2_e'] 	['b2276 h2_e']
b2276 h2_e 	Org_b3708 ER30 	['b3708 for_e'] 	['for_e']
b2276 h2_e 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
b2276 h2_e 	Org_b2276 ER34 	['b2276 ac_e'] 	['ac_e']
b2276 h2_e 	Org_b3708 ERR34 	['ac_e'] 	['b3708 ac_e']
b2276 h2_e 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b2276 h2_e 	Org_b3708 ERR216 	['adn_e'] 	['b3708 adn_e']
b2276 h2_e 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 h2_e 	Org_b3708 ER201 	['b3708 h2_e'] 	['h2_e']
b2276 h2_e 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b2276 h2_e 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']


b2276 h2_c 	Org_b2276 ERR30 	['for_e'] 	['b2276 for_e']
b2276 h2_c 	Org_b2276 ERR201 	['h2_e'] 	['b2276 h2_e']
b2276 h2_c 	Org_b3708 ER30 	['b3708 for_e'] 	['for_e']
b2276 h2_c 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b2276 h2_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 h2_c 	Org_b3708 ER201 	['b3708 h2_e'] 	['h2_e']
b2276 h2_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b2276 h2_c 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']


b3708 h2o2_c 	Org_b2276 ER212 	['b2276 asn_L_e'] 	['asn_L_e']
b3708 h2o2_c 	Org_b2276 ER174 	['b2276 asp_L_e'] 	['asp_L_e']
b3708 h2o2_c 	Org_b3708 ERR174 	['asp_L_e'] 	['b3708 asp_L_e']
b3708 h2o2_c 	Org_b3708 ERR212 	['asn_L_e'] 	['b3708 asn_L_e']


b2276 h2_p 	Org_b2276 ERR30 	['for_e'] 	['b2276 for_e']
b2276 h2_p 	Org_b2276 ERR201 	['h2_e'] 	['b2276 h2_e']
b2276 h2_p 	Org_b3708 ER30 	['b3708 for_e'] 	['for_e']
b2276 h2_p 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b2276 h2_p 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b2276 h2_p 	Org_b3708 ER201 	['b3708 h2_e'] 	['h2_e']
b2276 h2_p 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b2276 h2_p 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']


b3708 icit_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b3708 icit_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 icit_c 	Org_b2276 ER91 	['b2276 co2_e'] 	['co2_e']
b3708 icit_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 icit_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']
b3708 icit_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 icit_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 icit_c 	Org_b3708 ERR91 	['co2_e'] 	['b3708 co2_e']


b3708 acACP_c 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']
b3708 acACP_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 acACP_c 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b3708 acACP_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']


b2276 glu_L_p 	Org_b2276 ERR216 	['adn_e'] 	['b2276 adn_e']
b2276 glu_L_p 	Org_b3708 ER38 	['b3708 glu_L_e'] 	['glu_L_e']
b2276 glu_L_p 	Org_b3708 ER133 	['b3708 nh4_e'] 	['nh4_e']
b2276 glu_L_p 	Org_b2276 ERR38 	['glu_L_e'] 	['b2276 glu_L_e']
b2276 glu_L_p 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b2276 glu_L_p 	Org_b3708 ER216 	['b3708 adn_e'] 	['adn_e']
b2276 glu_L_p 	Org_b2276 ERR45 	['ade_e'] 	['b2276 ade_e']
b2276 glu_L_p 	Org_b2276 ERR133 	['nh4_e'] 	['b2276 nh4_e']
b2276 glu_L_p 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']
b2276 glu_L_p 	Org_b3708 ER45 	['b3708 ade_e'] 	['ade_e']


b3708 glu5sa_c 	Org_b2276 ER38 	['b2276 glu_L_e'] 	['glu_L_e']
b3708 glu5sa_c 	Org_b2276 ER197 	['b2276 akg_e'] 	['akg_e']
b3708 glu5sa_c 	Org_b3708 ERR38 	['glu_L_e'] 	['b3708 glu_L_e']
b3708 glu5sa_c 	Org_b3708 ERR197 	['akg_e'] 	['b3708 akg_e']


b3708 f6p_c 	Org_b2276 ER285 	['b2276 glyc_e'] 	['glyc_e']
b3708 f6p_c 	Org_b3708 ERR285 	['glyc_e'] 	['b3708 glyc_e']


b3708 malACP_c 	Org_b2276 ER30 	['b2276 for_e'] 	['for_e']
b3708 malACP_c 	Org_b2276 ER28 	['b2276 pyr_e'] 	['pyr_e']
b3708 malACP_c 	Org_b3708 ERR30 	['for_e'] 	['b3708 for_e']
b3708 malACP_c 	Org_b3708 ERR28 	['pyr_e'] 	['b3708 pyr_e']


hxan_e 	Org_b2276 ER45 	['b2276 ade_e'] 	['ade_e']
hxan_e 	Org_b2276 ER284 	['b2276 lac_D_e'] 	['lac_D_e']
hxan_e 	Org_b3708 ERR206 	['glyc_R_e'] 	['b3708 glyc_R_e']
hxan_e 	Org_b2276 ER6 	['b2276 hxan_e'] 	['hxan_e']
hxan_e 	Org_b3708 ERR45 	['ade_e'] 	['b3708 ade_e']
hxan_e 	Org_b3708 ERR284 	['lac_D_e'] 	['b3708 lac_D_e']
hxan_e 	Org_b2276 ER216 	['b2276 adn_e'] 	['adn_e']
